Concept	Définition
Marche des parties harmoniques	En général, lorsque l'on compose à trois parties ou davantage, elles ne doivent pas monter ni descendre toutes à la fois, à moins qu'il n'y ait unisson ou que la pensée ne l'exige ainsi. Il suffît toutefois que l'une d'elles soit immobile pendant que les autres montent ou descendent. Il est bien que le dessus et la basse procèdent par mouvements contraires, ou du moins par mouvements obliques. En tous cas, les parties harmoniques doivent marcher d'une manière simple, naturelle et sans contorsion. Il est ridicule et périlleux à la fois de leur donner des intonations difficiles et hasardées.
Marcher	Ce terme s'emploie figurément en musique et se dit de la succession des sons ou des accords qui se suivent dans un certain ordre.
Marseillaise	Nom donné à un hymne patriotique et guerrier dont les paroles et la musique furent composées à Strasbourg par Rouget de Lisle, en 1792.
Martaban (musique du)	Les habitants du Martaban, province de l'empire Birman, paraissent aimer beaucoup notre musique, dont la leur se rapproche plus que celle d'aucun autre peuple de l'Inde. Les instruments dont ils se servent méritent d'être observés. Ils ont un luth avec deux cordes de laiton, qu'ils jouent tantôt avec un archet, tantôt avec les doigts. Ils possèdent encore un instrument qu'on peut appeler chat, parce qu'il représente ce quadrupède avec les jambes ployées sous lui et la queue ramenée en demi-cercle au-dessus de son dos. C'est sur cette queue que les cordes sont attachées. Ils ont aussi nos espèces de flûtes, des flageolets, des tam-tams et des cloches qu'ils appellent gongs.
Marteau	Instrument qui a le manche percé comme une clef, avec lequel on tend ou on lâche les cordes des instruments à chevilles, pour les accorder. C'est aussi le nom de certaines pièces de la mécanique du piano qui attaquent les cordes.
Martellement	Sorte d'agrément du chant en usage dans l'ancien français.
Masques	Par ce nom on entendait, chez les anciens Grecs et Romains, certaines figures postiches qui représentaient, dans les théâtres, les traits des personnages figurant dans l'action dramatique. Ces masques étaient en métal, et l'on s'en servait pour donner plus d'éclat et plus de force à la voix.
Masses	Masses, dans la musique vocale et instrumentale, se dit de plusieurs parties considérées comme ne formant qu'un seul tout. Les arpèges des violons et des violes, liées par les tenues des instruments à vent, forment de belles masses harmoniques. Un solo de hautbois plane et se dessine avec grâce sur les masses de l'orchestre.
Matraca	Enorme crécelle,. en usage en Espagne, et surtout au Mexique, pendant la semaine-sainte. Elle remplace les cloches. C'est une roue de plusieurs palmes de diamètre, dont la circonférence est armée de marteaux de bois mobile, de sorte qu'en tournant la roue, ces petits marteaux frappent quelques petits morceaux de bois plantés comme des dents dans la circonférence de la roue.
Maxime	Nom de tout intervalle plus grand que le majeur, pour ceux qui n'admettent pas le degré de augmenté, et plus grand d'un demi-ton que l'augmenté, pour ceux qui admettent ce degré de plus.
Maxime	C'est une note faite en carré long horizontal avec une queue au côté droit, laquelle valait huit mesures à deux temps,' c'est-à-dire deux longues, et quelquefois trois, selon le mode. — Cette sorte de note n'est plus en usage, depuis qu'on sépare les mesures par des barres, et qu'on marque avec des liaisons les tenues ou continuités des sons.
Mazurka	La mazurka possède un rhythme particulier qui consiste à marquer souvent le deuxième temps de la mesure ; la période se termine sur le deuxième temps. Elle est plus lente que la valse.
Memphitique (danse)	Se disait, chez les anciens Egyptiens, d'une danse guerrière qui s'exécutait au son instruments militaires. MÉNESTRELS. Poëtes et musiciens qui florissaient en France dès le huitième siècle. — Le maître de chapelle du roi Pépin,père de Charlemagne, était un ménestrel. — Chanteurs et virtuoses à la fois, les ménestrels obtinrent pendant longtemps de grands succès. A la suite des preux chevaliers dans les batailles, les tournois, les carrousels, ils célébraient leurs exploits, et se rendaient les interprètes des sentiments exaltés, patriotiques qui faisaient alors battre les coeurs. — Ils jouaient aussi un rôle dans les cours d'amour, les combats poétiques et tous les jeux brillants du moyen-âge. — Admis dans les salons de l'aristocratie, ils faisaient l'admiration et les délices des sentimentales châtelaines. Cette vogue des ménestrels dura tant que leur nombre n'excéda pas certaines limites; mais à mesure qu'ils se multiplièrent, ils perdirent peu à peu de leur crédit et de leur empire sur les imaginations. Il faut dire que plusieurs d'entre eux s'attirèrent le mépris public par des excès et des désordres qui provoquèrent souvent la rigueur des lois. Déchus de leur ancien prestige, exclus des châteaux et des palais, les ménestrels formèrent une corporation dont les membres, disséminés sur les divers points de la France, se mirent à utiliser leurs talents le plus fructueusement possible. Réunis en groupes de quinze ou vingt, ils parcouraient les bourgs, les villages, chantant et jouant de la viole et de la lyre; puis, quand le soir était venu, ils partageaient en bons camarades leur recette de la journée. Les ménestrels survécurent aux troubadours. Mais à mesure que la musique fit des progrès en France, ils perdirent peu à peu toute considération. Connus encore aujourd'hui sous le nom de ménétriers, ils sont relégués au dernier rang de la hiérarchie musicale, et leur archet ne sert plus qu'à défrayer les fêtes rustiques. MENUEL. Etait un diminutif du Cor. MENUET. Air de danse d'un mouvement modéré et à trois temps. — Le menuet est d'origine française; il se dansait à deux, et avait autant de grâce que de noblesse. Le menuet d'Exaudet a été longtemps célèbre. On nomme aussi menuet un morceau, ordinairement le troisième, d'une symphonie ou d'un quatuor ; il est aussi à trois temps, mais d'un mouvement très-rapide. Les menuets de Mozart, de Haydn, de Beethoven, sont presque tous des chefs-d'oeuvre. Celui que Mozart a placé dans le premier finale de Don Juan est d'un goût exquis.
Merline	Orgue à cylindre, qui sert à siffler les merles et les bouvreuils. Il est plus fort que celui qu'on emploie pour le serin, parce que la voix des bouvreuils et des merles est plus grave.
Mese	Signifiait, dans la musique ancienne, une des sept cordes de la lyre, celle du milieu qui était consacrée au Soleil. Ce mot désignait également le son du milieu du système musical des Grecs.
Messe	Composition musicale, en plusieurs morceaux détachés, que l'on chante dans les églises catholiques pendant le saint sacrifice de la Messe. Les paroles de la Messe sont fort belles et favorables au langage varié de la musique ; elles fournissent des contrastes dont un compositeur habile sait tirer parti. Le Kyrie est une prière affectueuse, le Gloria s'ouvre par un chant éclatant, le Credo, majestueux d'abord, passe de l'expression d'un sentiment tendre à celle d'une profonde tristesse. Les effets bruyants du Resurrexit contrastent avec l'abattement de la douleur ; la trompette du Jugement fait entendre ensuite ses accents terribles et solennels, et le discours musical a pour péroraison un final brillant et rapide dans l'Et Vitam, ordinairement traité en fugue; le Sanctus et l'Agnus Dei, sont deux prières ; l'un a le caractère imposant, l'autre est d'une expresssion suave et tendre. Parmi nos compositeurs modernes, les messes de Lesueur et Chérubini sont justement admirées. La Messe des morts se compose ordinairement de sept parties.
Mesure	Règle qui établit le rapport des sons entre eux, quant à leur durée. (Voyez TEMPS.)
Mesuré	Mot que l'on écrivait autrefois sur les partions pour indiquer l'endroit où cessait le récitatif et où reprenait le choeur.
Méthode	Spécialement appliqué à la musique, ce mot désigne une série de règles et de préceptes qui enseignent à tirer tout le parti possible des aptitudes naturelles. Dans la musique vocale, on dit qu'un chanteur a une belle, une excellente méthode, pour indiquer que des éludes fortes, habilement dirigées et fondées sur une science profonde, ont développé, assoupli son organe, et l'ont rendu propre à l'exécution des plus grandes difficultés. L'on pourrait citer beaucoup d'artistes, qui, sans posséder des facultés supérieures, sont arrivés à de beaux résultats, grâce à une méthode parfaite. Ce n'est pas à dire pourtant que la méthode puisse suppléer à d'heureuses dispositions, mais elle double l'effet et la puissance des belles voix, et corrige, transforme, modifie les voix défectueuses. Dans l'enseignement de la musique, on appelle aussi méthode les préceptes qui servent de base à l'éducation musicale, et qui ont pour objet de faire parcourir progressivement à l'élève toutes les difficultés de l'art. Dans l'exécution instrumentale, les méthodes sont nombreuses et variées. L'on peut dire que chaque artiste éminent a la sienne.
Méthode	Se dit également de la manière d'exécuter.
Métromètre	Instrument servant à battre la mesure et les temps de tous les airs. Il fut inventé en 1732, par Oms-Embray.
Métronome	Instrument propre à mesurer le temps musical, dont Maëlzel se dit l'inventeur, en 1815; mais l'invention fut réclamée par Winkel, Hollandais.
Mezzo-mezza	Mot italien qui veut dire moyen : ainsi mezza voce signifie à demi-voix; mezzo forte, modérément.
Microphone	Se dit des instruments destinés à augmenter l'intensité du son, comme font la plupart des instruments à vent, tel que le porte-voix.
Microscome musical	Mécanisme inventé et construit en 1770, par Triklir, de Dijon, au moyen duquel on pouvait mettre tous les instruments à cordes à l'abri des variations de l'air.
Milani (francesco)	Imitateur scrupuleux de Stradivarius, travailla à Milan en 1742.
Minime	On employait autrefois ce mot pour indiquer une note valant deux noires ou la moitié d'une ronde. On appelle intervalle minime celui qui est moindre que l'intervalle mineur ou diminué pour ceux qui sont susceptibles d'admettre ce degré.
